"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
68.55;26.9;32.84;55.85;17.91;16.54;24.98;28.975
68.05;27.0;33.21;57.23;17.98;16.59;25.37;29.095
68.36;27.35;33.2;56.32;18.02;16.61;25.4;29.2
67.61;27.5;33.0;55.7;18.0;16.42;25.58;28.5525
67.4;27.5;33.3;55.08;18.05;16.39;26.13;28.0525
67.75;27.81;33.2;56.1;18.11;16.36;26.4;28.15
67.7;27.9;32.97;56.25;18.04;16.3;26.5;28.25
68.05;28.205;32.96;55.79;17.96;16.28;26.28;28.3375
67.65;28.0;32.62;55.83;18.01;16.24;25.95;28.47
67.51;28.175;32.8;56.32;17.87;16.1;26.4;28.65
66.65;28.35;32.63;56.63;17.9;16.0;26.8;28.7125
66.75;28.35;32.72;57.0;18.02;15.92;26.73;28.6875
65.93;27.95;32.25;55.83;17.99;15.71;26.27;28.375
66.25;27.95;32.17;55.1;17.79;15.77;25.95;28.1
66.25;27.925;32.09;55.54;17.71;15.74;26.33;28.125
67.16;28.21;32.4;56.65;17.96;15.97;26.61;28.1
66.17;28.155;32.28;55.81;18.12;15.75;26.3;28.275
66.77;28.375;32.5;58.23;18.36;15.89;26.51;28.2
67.1;28.2;32.92;57.95;18.54;15.98;26.85;28.41
67.29;28.225;33.15;57.94;18.42;15.82;26.43;28.5
68.64;28.825;33.05;59.91;18.52;15.9;26.58;28.375
68.36;29.225;33.05;60.88;18.47;15.83;26.72;28.05
68.23;28.685;33.32;59.78;18.33;15.82;26.43;28.1
67.91;28.385;32.92;60.45;18.27;15.7;25.83;29.95
68.55;28.25;34.15;60.08;18.2;15.46;26.07;30.0
68.95;28.015;34.65;59.15;18.0;15.36;26.35;30.17
68.85;27.885;34.58;59.39;18.02;15.35;26.15;30.33
69.11;28.11;34.53;58.55;17.97;15.43;25.65;30.125
67.4;27.7;34.25;57.5;18.02;15.26;25.33;29.6775
67.18;27.51;34.02;57.3;17.94;15.36;25.63;29.925
67.15;27.25;34.35;57.55;18.0;15.36;25.65;29.825
67.01;27.325;34.8;58.21;18.18;15.35;25.55;29.85
